"Row","Date","Site.Name","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","Month","Year","Ozone","PM2.5"
234,2018-03-01,"Linville Falls","Avery",35.972347,-81.933072,3,2018,42,NA
235,2018-03-05,"Linville Falls","Avery",35.972347,-81.933072,3,2018,44,NA
236,2018-03-06,"Linville Falls","Avery",35.972347,-81.933072,3,2018,38,NA
237,2018-03-07,"Linville Falls","Avery",35.972347,-81.933072,3,2018,38,NA
238,2018-03-08,"Linville Falls","Avery",35.972347,-81.933072,3,2018,41,NA
239,2018-03-09,"Linville Falls","Avery",35.972347,-81.933072,3,2018,45,NA
240,2018-03-10,"Linville Falls","Avery",35.972347,-81.933072,3,2018,47,NA
241,2018-03-11,"Linville Falls","Avery",35.972347,-81.933072,3,2018,41,NA
242,2018-03-12,"Linville Falls","Avery",35.972347,-81.933072,3,2018,43,NA
243,2018-03-13,"Linville Falls","Avery",35.972347,-81.933072,3,2018,43,NA
244,2018-03-14,"Linville Falls","Avery",35.972347,-81.933072,3,2018,43,NA
245,2018-03-16,"Linville Falls","Avery",35.972347,-81.933072,3,2018,61,NA
246,2018-03-17,"Linville Falls","Avery",35.972347,-81.933072,3,2018,50,NA
247,2018-03-18,"Linville Falls","Avery",35.972347,-81.933072,3,2018,44,NA
248,2018-03-19,"Linville Falls","Avery",35.972347,-81.933072,3,2018,43,NA
249,2018-03-20,"Linville Falls","Avery",35.972347,-81.933072,3,2018,38,NA
250,2018-03-21,"Linville Falls","Avery",35.972347,-81.933072,3,2018,36,NA
251,2018-03-23,"Linville Falls","Avery",35.972347,-81.933072,3,2018,49,NA
252,2018-03-24,"Linville Falls","Avery",35.972347,-81.933072,3,2018,43,NA
253,2018-03-25,"Linville Falls","Avery",35.972347,-81.933072,3,2018,45,NA
254,2018-03-26,"Linville Falls","Avery",35.972347,-81.933072,3,2018,46,NA
255,2018-03-27,"Linville Falls","Avery",35.972347,-81.933072,3,2018,43,NA
256,2018-03-28,"Linville Falls","Avery",35.972347,-81.933072,3,2018,42,NA
257,2018-03-29,"Linville Falls","Avery",35.972347,-81.933072,3,2018,49,NA
258,2018-03-30,"Linville Falls","Avery",35.972347,-81.933072,3,2018,41,NA
259,2018-04-01,"Linville Falls","Avery",35.972347,-81.933072,4,2018,46,NA
260,2018-04-03,"Linville Falls","Avery",35.972347,-81.933072,4,2018,47,NA
261,2018-04-04,"Linville Falls","Avery",35.972347,-81.933072,4,2018,44,NA
262,2018-04-05,"Linville Falls","Avery",35.972347,-81.933072,4,2018,48,NA
263,2018-04-06,"Linville Falls","Avery",35.972347,-81.933072,4,2018,54,NA
264,2018-04-07,"Linville Falls","Avery",35.972347,-81.933072,4,2018,42,NA
265,2018-04-08,"Linville Falls","Avery",35.972347,-81.933072,4,2018,45,NA
266,2018-04-09,"Linville Falls","Avery",35.972347,-81.933072,4,2018,34,NA
267,2018-04-10,"Linville Falls","Avery",35.972347,-81.933072,4,2018,44,NA
268,2018-04-11,"Linville Falls","Avery",35.972347,-81.933072,4,2018,44,NA
269,2018-04-12,"Linville Falls","Avery",35.972347,-81.933072,4,2018,64,NA
270,2018-04-13,"Linville Falls","Avery",35.972347,-81.933072,4,2018,84,NA
271,2018-04-14,"Linville Falls","Avery",35.972347,-81.933072,4,2018,45,NA
272,2018-04-15,"Linville Falls","Avery",35.972347,-81.933072,4,2018,41,NA
273,2018-04-17,"Linville Falls","Avery",35.972347,-81.933072,4,2018,64,NA
274,2018-04-18,"Linville Falls","Avery",35.972347,-81.933072,4,2018,77,NA
275,2018-04-19,"Linville Falls","Avery",35.972347,-81.933072,4,2018,42,NA
276,2018-04-20,"Linville Falls","Avery",35.972347,-81.933072,4,2018,61,NA
277,2018-04-21,"Linville Falls","Avery",35.972347,-81.933072,4,2018,74,NA
278,2018-04-22,"Linville Falls","Avery",35.972347,-81.933072,4,2018,49,NA
279,2018-04-23,"Linville Falls","Avery",35.972347,-81.933072,4,2018,48,NA
280,2018-04-24,"Linville Falls","Avery",35.972347,-81.933072,4,2018,40,NA
281,2018-04-25,"Linville Falls","Avery",35.972347,-81.933072,4,2018,40,NA
282,2018-04-26,"Linville Falls","Avery",35.972347,-81.933072,4,2018,39,NA
283,2018-04-27,"Linville Falls","Avery",35.972347,-81.933072,4,2018,48,NA
284,2018-04-28,"Linville Falls","Avery",35.972347,-81.933072,4,2018,67,NA
285,2018-04-29,"Linville Falls","Avery",35.972347,-81.933072,4,2018,45,NA
286,2018-04-30,"Linville Falls","Avery",35.972347,-81.933072,4,2018,54,NA
287,2018-05-01,"Linville Falls","Avery",35.972347,-81.933072,5,2018,80,NA
288,2018-05-02,"Linville Falls","Avery",35.972347,-81.933072,5,2018,87,NA
289,2018-05-03,"Linville Falls","Avery",35.972347,-81.933072,5,2018,84,NA
290,2018-05-04,"Linville Falls","Avery",35.972347,-81.933072,5,2018,49,NA
291,2018-05-05,"Linville Falls","Avery",35.972347,-81.933072,5,2018,45,NA
292,2018-05-06,"Linville Falls","Avery",35.972347,-81.933072,5,2018,47,NA
293,2018-05-07,"Linville Falls","Avery",35.972347,-81.933072,5,2018,54,NA
294,2018-05-08,"Linville Falls","Avery",35.972347,-81.933072,5,2018,51,NA
295,2018-05-09,"Linville Falls","Avery",35.972347,-81.933072,5,2018,67,NA
296,2018-05-10,"Linville Falls","Avery",35.972347,-81.933072,5,2018,61,NA
297,2018-05-11,"Linville Falls","Avery",35.972347,-81.933072,5,2018,80,NA
298,2018-05-12,"Linville Falls","Avery",35.972347,-81.933072,5,2018,64,NA
299,2018-05-13,"Linville Falls","Avery",35.972347,-81.933072,5,2018,58,NA
300,2018-05-14,"Linville Falls","Avery",35.972347,-81.933072,5,2018,50,NA
301,2018-05-15,"Linville Falls","Avery",35.972347,-81.933072,5,2018,36,NA
302,2018-05-16,"Linville Falls","Avery",35.972347,-81.933072,5,2018,26,NA
303,2018-05-17,"Linville Falls","Avery",35.972347,-81.933072,5,2018,27,NA
304,2018-05-18,"Linville Falls","Avery",35.972347,-81.933072,5,2018,38,NA
305,2018-05-19,"Linville Falls","Avery",35.972347,-81.933072,5,2018,37,NA
306,2018-05-20,"Linville Falls","Avery",35.972347,-81.933072,5,2018,36,NA
307,2018-05-21,"Linville Falls","Avery",35.972347,-81.933072,5,2018,41,NA
308,2018-05-22,"Linville Falls","Avery",35.972347,-81.933072,5,2018,30,NA
309,2018-05-23,"Linville Falls","Avery",35.972347,-81.933072,5,2018,37,NA
310,2018-05-24,"Linville Falls","Avery",35.972347,-81.933072,5,2018,41,NA
311,2018-05-25,"Linville Falls","Avery",35.972347,-81.933072,5,2018,35,NA
312,2018-05-26,"Linville Falls","Avery",35.972347,-81.933072,5,2018,23,NA
313,2018-05-27,"Linville Falls","Avery",35.972347,-81.933072,5,2018,31,NA
314,2018-05-28,"Linville Falls","Avery",35.972347,-81.933072,5,2018,22,NA
315,2018-05-29,"Linville Falls","Avery",35.972347,-81.933072,5,2018,28,NA
316,2018-05-30,"Linville Falls","Avery",35.972347,-81.933072,5,2018,30,NA
317,2018-05-31,"Linville Falls","Avery",35.972347,-81.933072,5,2018,38,NA
318,2018-06-01,"Linville Falls","Avery",35.972347,-81.933072,6,2018,44,NA
319,2018-06-02,"Linville Falls","Avery",35.972347,-81.933072,6,2018,35,NA
320,2018-06-03,"Linville Falls","Avery",35.972347,-81.933072,6,2018,45,NA
321,2018-06-04,"Linville Falls","Avery",35.972347,-81.933072,6,2018,54,NA
322,2018-06-05,"Linville Falls","Avery",35.972347,-81.933072,6,2018,51,NA
323,2018-06-06,"Linville Falls","Avery",35.972347,-81.933072,6,2018,71,NA
324,2018-06-07,"Linville Falls","Avery",35.972347,-81.933072,6,2018,44,NA
325,2018-06-08,"Linville Falls","Avery",35.972347,-81.933072,6,2018,47,NA
326,2018-06-09,"Linville Falls","Avery",35.972347,-81.933072,6,2018,42,NA
327,2018-06-10,"Linville Falls","Avery",35.972347,-81.933072,6,2018,48,NA
328,2018-06-11,"Linville Falls","Avery",35.972347,-81.933072,6,2018,40,NA
329,2018-06-12,"Linville Falls","Avery",35.972347,-81.933072,6,2018,30,NA
330,2018-06-13,"Linville Falls","Avery",35.972347,-81.933072,6,2018,31,NA
331,2018-06-14,"Linville Falls","Avery",35.972347,-81.933072,6,2018,41,NA
332,2018-06-15,"Linville Falls","Avery",35.972347,-81.933072,6,2018,44,NA
333,2018-06-16,"Linville Falls","Avery",35.972347,-81.933072,6,2018,54,NA
334,2018-06-17,"Linville Falls","Avery",35.972347,-81.933072,6,2018,34,NA
335,2018-06-18,"Linville Falls","Avery",35.972347,-81.933072,6,2018,33,NA
336,2018-06-19,"Linville Falls","Avery",35.972347,-81.933072,6,2018,32,NA
337,2018-06-20,"Linville Falls","Avery",35.972347,-81.933072,6,2018,27,NA
338,2018-06-21,"Linville Falls","Avery",35.972347,-81.933072,6,2018,20,NA
339,2018-06-22,"Linville Falls","Avery",35.972347,-81.933072,6,2018,32,NA
340,2018-06-23,"Linville Falls","Avery",35.972347,-81.933072,6,2018,38,NA
341,2018-06-24,"Linville Falls","Avery",35.972347,-81.933072,6,2018,37,NA
342,2018-06-25,"Linville Falls","Avery",35.972347,-81.933072,6,2018,22,NA
343,2018-06-26,"Linville Falls","Avery",35.972347,-81.933072,6,2018,25,NA
344,2018-06-27,"Linville Falls","Avery",35.972347,-81.933072,6,2018,27,NA
345,2018-06-28,"Linville Falls","Avery",35.972347,-81.933072,6,2018,32,NA
346,2018-06-29,"Linville Falls","Avery",35.972347,-81.933072,6,2018,40,NA
347,2018-06-30,"Linville Falls","Avery",35.972347,-81.933072,6,2018,46,NA
348,2018-07-01,"Linville Falls","Avery",35.972347,-81.933072,7,2018,35,NA
349,2018-07-02,"Linville Falls","Avery",35.972347,-81.933072,7,2018,23,NA
350,2018-07-03,"Linville Falls","Avery",35.972347,-81.933072,7,2018,35,NA
351,2018-07-04,"Linville Falls","Avery",35.972347,-81.933072,7,2018,43,NA
352,2018-07-05,"Linville Falls","Avery",35.972347,-81.933072,7,2018,26,NA
353,2018-07-06,"Linville Falls","Avery",35.972347,-81.933072,7,2018,28,NA
354,2018-07-07,"Linville Falls","Avery",35.972347,-81.933072,7,2018,31,NA
355,2018-07-08,"Linville Falls","Avery",35.972347,-81.933072,7,2018,33,NA
356,2018-07-09,"Linville Falls","Avery",35.972347,-81.933072,7,2018,43,NA
357,2018-07-10,"Linville Falls","Avery",35.972347,-81.933072,7,2018,45,NA
358,2018-07-11,"Linville Falls","Avery",35.972347,-81.933072,7,2018,42,NA
359,2018-07-12,"Linville Falls","Avery",35.972347,-81.933072,7,2018,38,NA
360,2018-07-13,"Linville Falls","Avery",35.972347,-81.933072,7,2018,46,NA
361,2018-07-14,"Linville Falls","Avery",35.972347,-81.933072,7,2018,44,NA
362,2018-07-15,"Linville Falls","Avery",35.972347,-81.933072,7,2018,29,NA
363,2018-07-16,"Linville Falls","Avery",35.972347,-81.933072,7,2018,31,NA
364,2018-07-17,"Linville Falls","Avery",35.972347,-81.933072,7,2018,37,NA
365,2018-07-18,"Linville Falls","Avery",35.972347,-81.933072,7,2018,39,NA
366,2018-07-19,"Linville Falls","Avery",35.972347,-81.933072,7,2018,39,NA
367,2018-07-20,"Linville Falls","Avery",35.972347,-81.933072,7,2018,45,NA
368,2018-07-21,"Linville Falls","Avery",35.972347,-81.933072,7,2018,41,NA
369,2018-07-22,"Linville Falls","Avery",35.972347,-81.933072,7,2018,31,NA
370,2018-07-23,"Linville Falls","Avery",35.972347,-81.933072,7,2018,37,NA
371,2018-07-24,"Linville Falls","Avery",35.972347,-81.933072,7,2018,37,NA
372,2018-07-25,"Linville Falls","Avery",35.972347,-81.933072,7,2018,24,NA
373,2018-07-26,"Linville Falls","Avery",35.972347,-81.933072,7,2018,29,NA
374,2018-07-27,"Linville Falls","Avery",35.972347,-81.933072,7,2018,40,NA
375,2018-07-28,"Linville Falls","Avery",35.972347,-81.933072,7,2018,39,NA
376,2018-07-29,"Linville Falls","Avery",35.972347,-81.933072,7,2018,39,NA
377,2018-07-30,"Linville Falls","Avery",35.972347,-81.933072,7,2018,37,NA
378,2018-07-31,"Linville Falls","Avery",35.972347,-81.933072,7,2018,32,NA
379,2018-08-01,"Linville Falls","Avery",35.972347,-81.933072,8,2018,31,NA
380,2018-08-02,"Linville Falls","Avery",35.972347,-81.933072,8,2018,27,NA
381,2018-08-03,"Linville Falls","Avery",35.972347,-81.933072,8,2018,20,NA
382,2018-08-04,"Linville Falls","Avery",35.972347,-81.933072,8,2018,23,NA
383,2018-08-05,"Linville Falls","Avery",35.972347,-81.933072,8,2018,22,NA
384,2018-08-06,"Linville Falls","Avery",35.972347,-81.933072,8,2018,25,NA
385,2018-08-07,"Linville Falls","Avery",35.972347,-81.933072,8,2018,28,NA
386,2018-08-08,"Linville Falls","Avery",35.972347,-81.933072,8,2018,25,NA
387,2018-08-09,"Linville Falls","Avery",35.972347,-81.933072,8,2018,37,NA
388,2018-08-10,"Linville Falls","Avery",35.972347,-81.933072,8,2018,35,NA
389,2018-08-11,"Linville Falls","Avery",35.972347,-81.933072,8,2018,27,NA
390,2018-08-12,"Linville Falls","Avery",35.972347,-81.933072,8,2018,32,NA
391,2018-08-13,"Linville Falls","Avery",35.972347,-81.933072,8,2018,33,NA
392,2018-08-14,"Linville Falls","Avery",35.972347,-81.933072,8,2018,31,NA
393,2018-08-15,"Linville Falls","Avery",35.972347,-81.933072,8,2018,39,NA
394,2018-08-16,"Linville Falls","Avery",35.972347,-81.933072,8,2018,31,NA
395,2018-08-17,"Linville Falls","Avery",35.972347,-81.933072,8,2018,38,NA
396,2018-08-18,"Linville Falls","Avery",35.972347,-81.933072,8,2018,26,NA
397,2018-08-19,"Linville Falls","Avery",35.972347,-81.933072,8,2018,32,NA
398,2018-08-20,"Linville Falls","Avery",35.972347,-81.933072,8,2018,30,NA
399,2018-08-21,"Linville Falls","Avery",35.972347,-81.933072,8,2018,28,NA
400,2018-08-22,"Linville Falls","Avery",35.972347,-81.933072,8,2018,29,NA
401,2018-08-23,"Linville Falls","Avery",35.972347,-81.933072,8,2018,34,NA
402,2018-08-24,"Linville Falls","Avery",35.972347,-81.933072,8,2018,33,NA
403,2018-08-25,"Linville Falls","Avery",35.972347,-81.933072,8,2018,38,NA
404,2018-08-26,"Linville Falls","Avery",35.972347,-81.933072,8,2018,36,NA
405,2018-08-27,"Linville Falls","Avery",35.972347,-81.933072,8,2018,38,NA
406,2018-08-28,"Linville Falls","Avery",35.972347,-81.933072,8,2018,27,NA
407,2018-08-29,"Linville Falls","Avery",35.972347,-81.933072,8,2018,31,NA
408,2018-08-30,"Linville Falls","Avery",35.972347,-81.933072,8,2018,25,NA
409,2018-08-31,"Linville Falls","Avery",35.972347,-81.933072,8,2018,32,NA
410,2018-09-01,"Linville Falls","Avery",35.972347,-81.933072,9,2018,36,NA
411,2018-09-02,"Linville Falls","Avery",35.972347,-81.933072,9,2018,24,NA
412,2018-09-03,"Linville Falls","Avery",35.972347,-81.933072,9,2018,28,NA
413,2018-09-04,"Linville Falls","Avery",35.972347,-81.933072,9,2018,32,NA
414,2018-09-05,"Linville Falls","Avery",35.972347,-81.933072,9,2018,36,NA
415,2018-09-06,"Linville Falls","Avery",35.972347,-81.933072,9,2018,31,NA
416,2018-09-07,"Linville Falls","Avery",35.972347,-81.933072,9,2018,28,NA
417,2018-09-08,"Linville Falls","Avery",35.972347,-81.933072,9,2018,38,NA
418,2018-09-09,"Linville Falls","Avery",35.972347,-81.933072,9,2018,27,NA
419,2018-09-10,"Linville Falls","Avery",35.972347,-81.933072,9,2018,26,NA
420,2018-09-11,"Linville Falls","Avery",35.972347,-81.933072,9,2018,28,NA
421,2018-09-12,"Linville Falls","Avery",35.972347,-81.933072,9,2018,28,NA
422,2018-09-13,"Linville Falls","Avery",35.972347,-81.933072,9,2018,20,NA
423,2018-09-14,"Linville Falls","Avery",35.972347,-81.933072,9,2018,19,NA
424,2018-09-15,"Linville Falls","Avery",35.972347,-81.933072,9,2018,19,NA
425,2018-09-16,"Linville Falls","Avery",35.972347,-81.933072,9,2018,20,NA
426,2018-09-17,"Linville Falls","Avery",35.972347,-81.933072,9,2018,19,NA
427,2018-09-18,"Linville Falls","Avery",35.972347,-81.933072,9,2018,34,NA
428,2018-09-19,"Linville Falls","Avery",35.972347,-81.933072,9,2018,37,NA
429,2018-09-20,"Linville Falls","Avery",35.972347,-81.933072,9,2018,34,NA
430,2018-09-21,"Linville Falls","Avery",35.972347,-81.933072,9,2018,42,NA
431,2018-09-22,"Linville Falls","Avery",35.972347,-81.933072,9,2018,31,NA
432,2018-09-23,"Linville Falls","Avery",35.972347,-81.933072,9,2018,33,NA
433,2018-09-24,"Linville Falls","Avery",35.972347,-81.933072,9,2018,20,NA
434,2018-09-25,"Linville Falls","Avery",35.972347,-81.933072,9,2018,25,NA
